,MTS_ctrl_1,MTS_ctrl_2,MTS_ctrl_3,MTS_acly3028_1,MTS_acly3028_2,MTS_acly3028_3,MTS_hypoxia_1,MTS_hypoxia_2,MTS_hypoxia_3
Palmitate_0,38.0778546034936,36.7573870173489,34.8268341025113,70.3333145951218,58.6081145383195,58.8545173074199,99.0579159252057,96.1716426622852,98.1667843179958
Palmitate_1,0,0,0,0,0,0,0,0,0
Palmitate_2,0.537852025227115,0.539305011947199,1.11855368724139,5.16500149051837,5.83462697874378,5.86595693147084,0.621866541796009,2.08932737241262,1.83321568200422
Palmitate_3,0.09597025262263,0.09358304050471,0,0,0.296787920718656,0.31910460560333,0,0,0
Palmitate_4,1.50981545233369,1.5473093442842,1.57516305444207,5.23840637544268,6.71277219510753,6.67423024654844,0.207426223734729,0.539041642146127,0
Palmitate_5,0.398931238557592,0.486189604876338,0.461483564270399,0.057324710966195,0.608723571557096,0.57116128067975,0,0,0
Palmitate_6,5.13839414773983,5.13092490421465,5.10921094094503,6.09119252963349,7.45370814599839,7.25936071540563,0.112791309263544,0.537066997639613,0
Palmitate_7,1.38714235872399,1.31774721938674,1.24776370897361,0,0.872512623103996,0.795350541743802,0,0,0
Palmitate_8,9.53642027753814,10.2767594347695,10.2479647432133,5.58359218355437,6.85970415475779,7.10423917326719,0,0.449534900594467,0
Palmitate_9,2.40178017205018,2.42975915694502,2.28869330681703,0,0.879281688683229,0.724113459176328,0,0,0
Palmitate_10,13.8912032705624,14.459968069003,14.3436151562927,4.47292681790951,5.45316854043541,5.49504204974054,0,0.213386424921956,0
Palmitate_11,2.65791651085065,2.71846485084838,2.84088516950786,0,0.673276192046746,0.63391815494576,0,0,0
Palmitate_12,13.5437678448544,13.0446661835258,13.5648684129587,2.73575247540128,3.71834900951966,3.68542939825771,0,0,0
Palmitate_13,1.48696039205387,1.72172579449861,1.98338109940009,0,0.283669852151838,0.265993078423856,0,0,0
Palmitate_14,7.1659310513931,7.2319060348179,7.95930329522086,0.322488821452302,1.48433740789811,1.5804234530385,0,0,0
Palmitate_15,0.39688234510408,0.441698949356152,0.54929173880823,0,0,0,0,0,0
Palmitate_16,1.77317805689475,1.80260538367292,1.88298801939734,0,0.260967180958305,0.171159604278423,0,0,0
Stearate_0,47.5865198942232,45.1103448005208,43.2416934731966,76.6005082436068,61.8146287643072,63.1856621134114,99.3984330341363,97.2650162602576,100
Stearate_1,0,0,0.399216478523773,0,0.38072049009075,0,0,0,0
Stearate_2,8.14256778042829,8.91656815758532,8.92084847250561,6.05679279561368,8.77208697660537,8.33080652464211,0.601566965863679,1.68123991325586,0
Stearate_3,0,0,0,0,0.12698584576692,0.25999690857333,0,0,0
Stearate_4,0.867115575835705,1.01338749306342,1.01680406855057,3.14118057034703,4.27315145409732,4.27498816474925,0,0.096356156974434,0
Stearate_5,0.083384790440854,0.208543064201334,0.212893901416173,0,0.504164046159569,0.338463902035076,0,0.028888723165231,0
Stearate_6,2.41798331190561,2.5015842347018,2.42223771383287,3.368106941097,5.00181521835159,4.79319876899705,0,0.427779430754347,0
Stearate_7,0.525796306232968,0.678866459103511,0.685271460688248,0,0.594338307252878,0.584510362026264,0,0,0
Stearate_8,5.11011267292334,5.32917091539249,5.43902991025429,4.23536312634481,5.43718478302395,5.08067898699537,0,0.284077004397794,0
Stearate_9,1.38818342677398,1.455182411357,1.49501485449029,0,0.684167213229434,0.819091337304092,0,0,0
Stearate_10,8.44026989609367,8.34856235659025,8.18636171858634,3.57736314254799,4.72062135466835,4.63872263676038,0,0.216642511194726,0
Stearate_11,1.73324903361997,1.90881078878868,2.16848365397881,0,0.601293833270934,0.639146546486897,0,0,0
Stearate_12,9.15041200701811,9.48599207147397,9.68789261469299,2.4200761777083,3.65323117835192,3.61519698581644,0,0,0
Stearate_13,1.84411457933491,1.94139213354482,1.93791035297482,0,0.413181130924817,0.430825127098921,0,0,0
Stearate_14,7.43653145147372,7.3675383548252,7.99293263116164,0.600609002734364,2.09074616442166,1.98033536087606,0,0,0
Stearate_15,0.881510778322902,1.01701705433026,1.1111520690112,0,0.165594350290813,0.217448016455522,0,0,0
Stearate_16,3.54348500944572,3.71733957144492,3.96843784823671,0,0.756172084725895,0.74160721324826,0,0,0
Stearate_17,0.184702822946,0.227046647424846,0.250364632006418,0,0,0,0,0,0
Stearate_18,0.664060662981038,0.772653485651391,0.863454145892692,0,0.009916804460678,0.069321044523579,0,0,0
